overlap_id,unit_of_analysis,left_variable,left_extreme,right_variable,right_extreme,group_rule,group_size_requested,left_group_n,right_group_n,overlap_n,overlap_rate_left,overlap_rate_right,jaccard,overlap_keys,contract_version
planning_rework_signal_t2_t3__top__source_churn_t3__top,team_semester,planning_rework_signal_t2_t3,top,source_churn_t3,top,top_bottom_fixed_n,4,4,4,1,0.25,0.25,0.14285714285714285,"[{""ID_Equipe"": ""TEAM_09"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__top__source_churn_t3__bottom,team_semester,planning_rework_signal_t2_t3,top,source_churn_t3,bottom,top_bottom_fixed_n,4,4,4,1,0.25,0.25,0.14285714285714285,"[{""ID_Equipe"": ""TEAM_01"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__bottom__source_churn_t3__bottom,team_semester,planning_rework_signal_t2_t3,bottom,source_churn_t3,bottom,top_bottom_fixed_n,4,4,4,1,0.25,0.25,0.14285714285714285,"[{""ID_Equipe"": ""TEAM_08"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__top__commits_per_author_t3__top,team_semester,planning_rework_signal_t2_t3,top,commits_per_author_t3,top,top_bottom_fixed_n,4,4,4,3,0.75,0.75,0.6,"[{""ID_Equipe"": ""TEAM_01"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_04"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_09"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__top__commits_per_author_t3__bottom,team_semester,planning_rework_signal_t2_t3,top,commits_per_author_t3,bottom,top_bottom_fixed_n,4,4,4,0,0.0,0.0,0.0,[],cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__bottom__commits_per_author_t3__bottom,team_semester,planning_rework_signal_t2_t3,bottom,commits_per_author_t3,bottom,top_bottom_fixed_n,4,4,4,2,0.5,0.5,0.3333333333333333,"[{""ID_Equipe"": ""TEAM_05"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_08"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__top,team_semester,planning_rework_signal_t2_t3,top,scope_applicability_mean_t3,top,top_bottom_fixed_n,4,4,4,0,0.0,0.0,0.0,[],cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__top__scope_applicability_mean_t3__bottom,team_semester,planning_rework_signal_t2_t3,top,scope_applicability_mean_t3,bottom,top_bottom_fixed_n,4,4,4,2,0.5,0.5,0.3333333333333333,"[{""ID_Equipe"": ""TEAM_01"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_09"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
planning_rework_signal_t2_t3__bottom__scope_applicability_mean_t3__bottom,team_semester,planning_rework_signal_t2_t3,bottom,scope_applicability_mean_t3,bottom,top_bottom_fixed_n,4,4,4,0,0.0,0.0,0.0,[],cross-evidence-extreme-overlap-v1
source_churn_t3__top__commits_per_author_t3__top,team_semester,source_churn_t3,top,commits_per_author_t3,top,top_bottom_fixed_n,4,4,4,2,0.5,0.5,0.3333333333333333,"[{""ID_Equipe"": ""TEAM_02"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_09"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
source_churn_t3__top__commits_per_author_t3__bottom,team_semester,source_churn_t3,top,commits_per_author_t3,bottom,top_bottom_fixed_n,4,4,4,0,0.0,0.0,0.0,[],cross-evidence-extreme-overlap-v1
source_churn_t3__bottom__commits_per_author_t3__bottom,team_semester,source_churn_t3,bottom,commits_per_author_t3,bottom,top_bottom_fixed_n,4,4,4,2,0.5,0.5,0.3333333333333333,"[{""ID_Equipe"": ""TEAM_08"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_10"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
source_churn_t3__top__scope_applicability_mean_t3__top,team_semester,source_churn_t3,top,scope_applicability_mean_t3,top,top_bottom_fixed_n,4,4,4,1,0.25,0.25,0.14285714285714285,"[{""ID_Equipe"": ""TEAM_03"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
source_churn_t3__top__scope_applicability_mean_t3__bottom,team_semester,source_churn_t3,top,scope_applicability_mean_t3,bottom,top_bottom_fixed_n,4,4,4,3,0.75,0.75,0.6,"[{""ID_Equipe"": ""TEAM_02"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_04"", ""Semestre"": ""2026.1""}, {""ID_Equipe"": ""TEAM_09"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
source_churn_t3__bottom__scope_applicability_mean_t3__bottom,team_semester,source_churn_t3,bottom,scope_applicability_mean_t3,bottom,top_bottom_fixed_n,4,4,4,1,0.25,0.25,0.14285714285714285,"[{""ID_Equipe"": ""TEAM_01"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
commits_per_author_t3__top__scope_applicability_mean_t3__top,team_semester,commits_per_author_t3,top,scope_applicability_mean_t3,top,top_bottom_fixed_n,4,4,4,0,0.0,0.0,0.0,[],cross-evidence-extreme-overlap-v1
commits_per_author_t3__top__scope_applicability_mean_t3__bottom,team_semester,commits_per_author_t3,top,scope_applicability_mean_t3,bottom,top_bottom_fixed_n,4,4,4,3,0.75,0.75,0.6,"[{""ID_Equipe"": ""TEAM_01"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_02"", ""Semestre"": ""2025.2""}, {""ID_Equipe"": ""TEAM_09"", ""Semestre"": ""2025.2""}]",cross-evidence-extreme-overlap-v1
commits_per_author_t3__bottom__scope_applicability_mean_t3__bottom,team_semester,commits_per_author_t3,bottom,scope_applicability_mean_t3,bottom,top_bottom_fixed_n,4,4,4,0,0.0,0.0,0.0,[],cross-evidence-extreme-overlap-v1
