relationship,relationship_id,task_4_2_requirement,full_sample_rho,loo_min_rho,loo_max_rho,sign_preservation_share,most_influential_team_semester,max_abs_rho_delta_from_full,available_leave_one_out_rows,total_leave_one_out_rows,unstable_sensitivity_flag,interpretation_note
Technical complexity → rework ratio,technical_complexity_to_rework_ratio,technical_complexity_t3_to_clean_churn_or_rework,0.058538516822601895,-0.06276459144608479,0.2371137379319794,0.7142857142857143,TEAM_07 · 2025.2,0.1785752211093775,14,14,True,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Planning scope → rework ratio,planning_scope_to_rework_ratio,planning_t1_to_rework_t3,-0.06007217153221088,-0.22070423513841744,0.13698772949316693,0.8571428571428571,TEAM_08 · 2025.2,0.1970599010253778,14,14,True,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Planning scope → final-7 clean churn,planning_scope_to_final7_clean_churn,planning_t1_to_final7_concentration,-0.27935014040445716,-0.4860809299643744,-0.1590145304514215,1.0,TEAM_08 · 2025.2,0.20673078955991725,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Planning scope → final-7 commits,planning_scope_to_final7_commits,planning_t1_to_final7_concentration,-0.2590747269880046,-0.4637323814602652,-0.13669670161613426,1.0,TEAM_08 · 2025.2,0.2046576544722606,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Planning scope → score delta,planning_scope_to_score_delta,planning_t1_to_delta_score_t3_minus_t1,-0.16783536661396822,-0.3701478345993081,-0.043300312726711504,1.0,TEAM_02 · 2025.2,0.2023124679853399,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Planning scope → rework churn,planning_scope_to_rework_churn,planning_t1_to_rework_t3,0.3006204394157542,0.19415301512944838,0.4937124337756901,1.0,TEAM_02 · 2025.2,0.19309199435993585,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Final-7 clean churn → score delta,final7_clean_churn_to_score_delta,final7_concentration_to_delta_score,0.30176211453744495,0.21458067067348452,0.4793388429752066,1.0,TEAM_02 · 2025.2,0.17757672843776168,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Regularity index → score delta,regularity_to_score_delta,regularity_index_to_delta_score,-0.521452460756461,-0.6767544228932973,-0.4236592728681617,1.0,TEAM_01 · 2025.2,0.15530196213683634,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Final-7 commits → score delta,final7_commits_to_score_delta,final7_concentration_to_delta_score,0.2422907488986784,0.14049586776859505,0.393939393939394,1.0,TEAM_02 · 2025.2,0.15164864504071557,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Technical complexity → rework churn,technical_complexity_to_rework_churn,technical_complexity_t3_to_clean_churn_or_rework,-0.2684537949852625,-0.38416587476329195,-0.12297746456210364,1.0,TEAM_02 · 2025.2,0.14547633042315888,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Planning scope → T3 score,planning_scope_to_t3_score,planning_t1_to_t3_score,0.18626869263348914,0.05817715987087406,0.2912884096499684,1.0,TEAM_04 · 2025.2,0.1280915327626151,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Final-7 clean churn → T3 score,final7_clean_churn_to_t3_score,final7_concentration_to_t3_score,-0.3598242762859198,-0.4551728467758034,-0.27586233137927474,1.0,TEAM_01 · 2026.1,0.0953485704898836,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
Final-7 commits → T3 score,final7_commits_to_t3_score,final7_concentration_to_t3_score,-0.5607077679547463,-0.6243117743390212,-0.4910349498551091,1.0,TEAM_07 · 2025.2,0.06967281809963721,14,14,False,"Sensitivity diagnostic; instability indicates case dependence, not an analysis failure."
