analysis_id,unit_of_analysis,stratum,semester,test,priority,x,y,expected_direction,narrative_acts,n_total,n_valid,n_missing,coefficient,p_value,status,reason,warning,verdict,stratification_class,contract_version
scope_vs_source_churn_t3,team_semester,global,,spearman,primary_candidate,source_churn_t3,scope_applicability_mean_t3,negative,"[2, 3]",14,14,0,-0.3805611639383081,0.1794831502826139,success,,,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_source_churn_t3,team_semester,semester,2025.2,spearman,primary_candidate,source_churn_t3,scope_applicability_mean_t3,negative,"[2, 3]",9,9,0,-0.23763541031440183,0.5380996131614764,success,,small_sample_n_lt_10,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_source_churn_t3,team_semester,semester,2026.1,spearman,primary_candidate,source_churn_t3,scope_applicability_mean_t3,negative,"[2, 3]",5,5,0,-0.7071067811865475,0.18169011381620928,success,,very_small_sample_n_lt_6,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_source_events_t3,team_semester,global,,spearman,primary_candidate,source_events_t3,scope_applicability_mean_t3,negative,"[2, 3]",14,14,0,-0.47484470451644895,0.0862066101479181,success,,,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_source_events_t3,team_semester,semester,2025.2,spearman,primary_candidate,source_events_t3,scope_applicability_mean_t3,negative,"[2, 3]",9,9,0,-0.45546786976927023,0.21793828553902453,success,,small_sample_n_lt_10,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_source_events_t3,team_semester,semester,2026.1,spearman,primary_candidate,source_events_t3,scope_applicability_mean_t3,negative,"[2, 3]",5,5,0,-0.7071067811865475,0.18169011381620928,success,,very_small_sample_n_lt_6,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_pi_line_delta_t3,team_semester,global,,spearman,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,negative,"[2, 3]",14,14,0,-0.6736169064070554,0.00826262593762888,success,,,supports,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_pi_line_delta_t3,team_semester,semester,2025.2,spearman,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,negative,"[2, 3]",9,9,0,-0.5544826240669376,0.12129912572245584,success,,small_sample_n_lt_10,inconclusive,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_pi_line_delta_t3,team_semester,semester,2026.1,spearman,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,negative,"[2, 3]",5,5,0,-0.7071067811865475,0.18169011381620928,success,,very_small_sample_n_lt_6,inconclusive,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_planning_artifact_activity_t3,team_semester,global,,spearman,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,negative,"[2, 3]",14,14,0,-0.5831555764121896,0.0286037847926583,success,,,supports,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_planning_artifact_activity_t3,team_semester,semester,2025.2,spearman,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,negative,"[2, 3]",9,9,0,-0.5247781977776373,0.14689589948624163,success,,small_sample_n_lt_10,inconclusive,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_planning_artifact_activity_t3,team_semester,semester,2026.1,spearman,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,negative,"[2, 3]",5,5,0,-0.7071067811865475,0.18169011381620928,success,,very_small_sample_n_lt_6,inconclusive,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_planning_rework_t2_t3,team_semester,global,,spearman,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,negative,"[2, 3]",14,14,0,-0.5207396621025063,0.056231526062027005,success,,,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_planning_rework_t2_t3,team_semester,semester,2025.2,spearman,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,negative,"[2, 3]",9,9,0,-0.3977196492840078,0.289117458517315,success,,small_sample_n_lt_10,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_planning_rework_t2_t3,team_semester,semester,2026.1,spearman,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,negative,"[2, 3]",5,5,0,-0.7071067811865475,0.18169011381620928,success,,very_small_sample_n_lt_6,inconclusive,direction_consistent_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_commits_per_author_t3,team_semester,global,,spearman,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,negative,[3],14,14,0,-0.7284815485795703,0.0031279384351483347,success,,,supports,global_supported_semester_supported,cross-evidence-semester-stratified-v1
scope_vs_commits_per_author_t3,team_semester,semester,2025.2,spearman,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,negative,[3],9,9,0,-0.7854963073359155,0.012115415988321164,success,,small_sample_n_lt_10,supports,global_supported_semester_supported,cross-evidence-semester-stratified-v1
scope_vs_commits_per_author_t3,team_semester,semester,2026.1,spearman,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,negative,[3],5,5,0,-0.7071067811865475,0.18169011381620928,success,,very_small_sample_n_lt_6,inconclusive,global_supported_semester_supported,cross-evidence-semester-stratified-v1
scope_vs_late_instability_index,team_semester,global,,spearman,secondary_support,late_instability_index,scope_applicability_mean_t3,negative,"[2, 3]",14,14,0,-0.6232378481888233,0.01725666014535349,success,,,supports,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
scope_vs_late_instability_index,team_semester,semester,2025.2,spearman,secondary_support,late_instability_index,scope_applicability_mean_t3,negative,"[2, 3]",9,9,0,-0.45546786976927023,0.21793828553902453,success,,small_sample_n_lt_10,inconclusive,global_supported_semester_inconclusive,cross-evidence-semester-stratified-v1
