claim_id,reference_key,relationship_type,why_it_matters,claim_strength_note
CLAIM-01,agile_manifesto_2001,contextualizes,"Provides the process and education framing for iterative delivery and collaborative planning in software engineering settings.","Contextual framing only; not an empirical test of this dataset."
CLAIM-01,williams_2024_ai_software_engineering_education,contextualizes,"Frames the educational and AI-assisted context that motivates the paper without claiming a causal effect in this cohort.","Supports the setting, not the outcome."
CLAIM-02,cunningham_1992_technical_debt,theoretical,"Introduces the economic and organizational rationale for interpreting deferred work, rework, and maintenance burden as a software-engineering tradeoff.","Helps explain the construct, not prove the effect here."
CLAIM-02,li_2015_technical_debt_mapping,methodological,"Systematic mapping study provides a broader evidence base for how technical debt is operationalized and interpreted in software engineering research.","Supports the conceptual and methodological framing."
CLAIM-03,cunningham_1992_technical_debt,theoretical,"Grounds planning debt and degradation interpretations in the broader technical debt literature.","Supports interpretive framing; does not validate the current null result."
CLAIM-03,li_2015_technical_debt_mapping,methodological,"Provides a measurement and synthesis frame that cautions against over-interpreting weak or sparse empirical patterns.","Qualifies the inference strategy."
CLAIM-04,chen_2021_evaluating_code_llms,contextualizes,"Helps frame AI-enabled program support as a relevant educational and engineering tool, while keeping claims bounded to capability rather than guaranteed process improvement.","Contextualizes the AI dimension without proving an effect."
CLAIM-04,miller_2023_coordination_ai_teams,qualifies,"Offers external evidence about coordination in AI-supported team settings and motivates a cautious interpretation of small-sample team results.","Supports a bounded, exploratory reading."
CLAIM-05,brooks_1975_mythical_man_month,qualifies,"Classic coordination argument that emphasizes communication overhead and complexity limits, which helps explain why sparse or unavailable coordination signals should remain qualified.","Counterbalances optimistic process narratives."
CLAIM-05,demarco_lister_1987_peopleware,qualifies,"Supports the view that team dynamics and environment matter materially to productivity and coordination, even when direct measures are unavailable.","Counterpoints strong causal claims."
CLAIM-06,agile_manifesto_2001,contextualizes,"Provides the normative backdrop for planning and adaptation, but it is not a proof that the current dataset confirms that posture in practice.","Supports contextual framing only."
CLAIM-06,li_2015_technical_debt_mapping,qualifies,"Signals that technical debt and rework are multi-causal phenomena, which helps limit cross-evidence claims to exploratory support rather than proof.","Qualifies the interpretive strength of the claim."
CLAIM-07,cunningham_1992_technical_debt,methodological,"The origin of the debt concept is helpful for explaining why deferred work and denominator issues matter materially in any claim about churn or debt-like outcomes.","Supports the validity warning and denominator caveat."
CLAIM-07,li_2015_technical_debt_mapping,methodological,"Provides the broader methodological reminder that measurement choices and classification boundaries shape what can be claimed from the data.","Supports the exclusion burden and validity note."
