evidence_id,source_artifact,source_row_key,evidence_tier,evidence_scope,narrative_acts,publication_readiness,recommended_use,summary,contract_version,analysis_id,stratum,semester,priority,x,y,coefficient,p_value,verdict,robustness_class,overlap_n,jaccard
correlation__scope_vs_source_churn_t3,cross_evidence_correlations,scope_vs_source_churn_t3,C,global_cross_evidence,"[2, 3]",exploratory_only,do_not_generalize,Global correlation is inconclusive or does not support the expected direction.,cross-evidence-priority-matrix-v1,scope_vs_source_churn_t3,global,,primary_candidate,source_churn_t3,scope_applicability_mean_t3,-0.3805611639383081,0.1794831502826139,inconclusive,fragile,,
correlation__scope_vs_source_events_t3,cross_evidence_correlations,scope_vs_source_events_t3,C,global_cross_evidence,"[2, 3]",exploratory_only,do_not_generalize,Global correlation is inconclusive or does not support the expected direction.,cross-evidence-priority-matrix-v1,scope_vs_source_events_t3,global,,primary_candidate,source_events_t3,scope_applicability_mean_t3,-0.4748447045164489,0.0862066101479181,inconclusive,fragile,,
correlation__scope_vs_pi_line_delta_t3,cross_evidence_correlations,scope_vs_pi_line_delta_t3,A,global_cross_evidence,"[2, 3]",candidate_primary,anchor_narrative_claim,Supported global correlation with leave-one-out robustness.,cross-evidence-priority-matrix-v1,scope_vs_pi_line_delta_t3,global,,primary_candidate,pi_line_delta_t3,scope_applicability_mean_t3,-0.6736169064070554,0.0082626259376288,supports,robust_all,,
correlation__scope_vs_planning_artifact_activity_t3,cross_evidence_correlations,scope_vs_planning_artifact_activity_t3,A,global_cross_evidence,"[2, 3]",candidate_primary,anchor_narrative_claim,Supported global correlation with leave-one-out robustness.,cross-evidence-priority-matrix-v1,scope_vs_planning_artifact_activity_t3,global,,primary_candidate,planning_artifact_activity_t3,scope_applicability_mean_t3,-0.5831555764121896,0.0286037847926583,supports,robust_most,,
correlation__scope_vs_planning_rework_t2_t3,cross_evidence_correlations,scope_vs_planning_rework_t2_t3,C,global_cross_evidence,"[2, 3]",exploratory_only,do_not_generalize,Global correlation is inconclusive or does not support the expected direction.,cross-evidence-priority-matrix-v1,scope_vs_planning_rework_t2_t3,global,,primary_candidate,planning_rework_signal_t2_t3,scope_applicability_mean_t3,-0.5207396621025063,0.056231526062027,inconclusive,fragile,,
correlation__scope_vs_commits_per_author_t3,cross_evidence_correlations,scope_vs_commits_per_author_t3,A,global_cross_evidence,[3],candidate_primary,anchor_narrative_claim,Supported global correlation with leave-one-out robustness.,cross-evidence-priority-matrix-v1,scope_vs_commits_per_author_t3,global,,primary_candidate,commits_per_author_t3,scope_applicability_mean_t3,-0.7284815485795703,0.0031279384351483,supports,robust_all,,
correlation__scope_vs_late_instability_index,cross_evidence_correlations,scope_vs_late_instability_index,A,global_cross_evidence,"[2, 3]",candidate_primary,anchor_narrative_claim,Supported global correlation with leave-one-out robustness.,cross-evidence-priority-matrix-v1,scope_vs_late_instability_index,global,,secondary_support,late_instability_index,scope_applicability_mean_t3,-0.6232378481888233,0.0172566601453534,supports,robust_most,,
contrast__scope_applicability_mean_t3__planning_rework_signal_t2_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__planning_rework_signal_t2_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__planning_rework_signal_t2_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,planning_rework_signal_t2_t3,,0.1912669868788687,inconclusive,,,
contrast__scope_applicability_mean_t3__planning_artifact_activity_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__planning_artifact_activity_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__planning_artifact_activity_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,planning_artifact_activity_t3,,0.1912669868788687,inconclusive,,,
contrast__scope_applicability_mean_t3__pi_line_delta_t3__top_bottom_4,best_worst_project_contrasts,scope_applicability_mean_t3__pi_line_delta_t3__top_bottom_4,B,top_bottom_exploratory_contrast,[3],exploratory_only,do_not_generalize,Best/worst contrast is exploratory and not statistically supported.,cross-evidence-priority-matrix-v1,scope_applicability_mean_t3__pi_line_delta_t3__top_bottom_4,top_bottom,,,scope_applicability_mean_t3,pi_line_delta_t3,,0.0571428571428571,inconclusive,,,
