metric,construct_family,plan_requirement,source,definition,heuristic_or_policy,manual_genai_architecture_classification
technical_complexity_mean_t1,evaluated_complexity,technical_complexity_mean_t1,data/lake/evaluator_team_cuts.parquet,Mean evaluator technical-complexity score at temporal marker T1.,Evaluator-derived; not repository structural inference.,False
technical_complexity_mean_t2,evaluated_complexity,technical_complexity_mean_t2,data/lake/evaluator_team_cuts.parquet,Mean evaluator technical-complexity score at temporal marker T2.,Evaluator-derived; not repository structural inference.,False
technical_complexity_mean_t3,evaluated_complexity,technical_complexity_mean_t3,data/lake/evaluator_team_cuts.parquet,Mean evaluator technical-complexity score at temporal marker T3.,Evaluator-derived; not repository structural inference.,False
delta_technical_complexity_t3_minus_t1,evaluated_complexity,delta_technical_complexity_t3_minus_t1,data/lake/evaluator_team_cuts.parquet,technical_complexity_mean_t3 minus technical_complexity_mean_t1.,Derived from evaluator technical-complexity means.,False
clean_distinct_file_n,repository_structural_complexity,número de arquivos limpos distintos,data/lake/git_files.parquet,Number of distinct clean-path files touched in observed Git file events.,code-churn-metrics-v2,False
clean_distinct_directory_n,repository_structural_complexity,número de diretórios distintos,data/lake/git_files.parquet,Number of distinct parent directories among clean-path file events.,Directory is derived from normalized POSIX-style file paths after clean-path filtering.,False
clean_max_path_depth,repository_structural_complexity,profundidade máxima de caminho,data/lake/git_files.parquet,Maximum normalized path depth among clean-path file events.,Depth counts normalized path segments after clean-path filtering.,False
clean_extension_n,repository_structural_complexity,número de extensões,data/lake/git_files.parquet,Number of distinct file extensions among clean-path file events.,Missing/empty extensions are represented as (none).,False
frontend_clean_file_event_share,repository_structural_complexity,"proporção backend/frontend, se inferível por path",data/lake/git_files.parquet,Share of clean file events whose path segments match frontend markers.,Path segment markers only; no manual architecture or GenAI integration classification.,False
backend_clean_file_event_share,repository_structural_complexity,"proporção backend/frontend, se inferível por path",data/lake/git_files.parquet,Share of clean file events whose path segments match backend markers.,Path segment markers only; no manual architecture or GenAI integration classification.,False
clean_touching_commit_n_inferred,repository_structural_complexity,número de commits tocando clean paths,data/lake/git_files.parquet,Number of distinct commits touching at least one clean-path file.,code-churn-metrics-v2,False
mean_clean_files_per_commit,repository_structural_complexity,diversidade de arquivos por commit,data/lake/git_files.parquet,Mean number of distinct clean-path files touched per clean-touching commit.,code-churn-metrics-v2,False
clean_total_churn_inferred,repository_structural_complexity,churn total limpo,data/lake/git_files.parquet,"Total clean-path changed lines, computed as lines_added plus lines_deleted.",code-churn-metrics-v2,False
